Time,imu0_ax,imu0_ay,imu0_az,imu1_ax,imu1_ay,imu1_az,imu2_ax,imu2_ay,imu2_az,imu3_ax,imu3_ay,imu3_az,Gesture
30,-20.0,20.0,1.85,-20.0,9.88,-0.94,-20.0,8.26,0.0,-20.0,9.65,12.7,Default
28,-20.0,20.0,20.0,-20.0,-20.0,-15.56,-20.0,-20.0,-18.89,-20.0,-20.0,20.0,Default
19,20.0,-20.0,20.0,20.0,-20.0,20.0,-0.86,-20.0,20.0,-8.43,-20.0,20.0,Default
53,12.83,20.0,20.0,-20.0,-20.0,2.43,-20.0,-20.0,-0.44,-20.0,-20.0,20.0,Default
24,7.83,20.0,20.0,-20.0,-20.0,3.89,-20.0,-20.0,0.9,-20.0,-20.0,20.0,Default
47,20.0,-20.0,20.0,20.0,-20.0,20.0,-2.07,-20.0,20.0,-20.0,-20.0,20.0,Default
5,-20.0,20.0,8.18,-20.0,15.32,-1.72,-20.0,8.28,-2.53,-20.0,13.08,20.0,Default
19,20.0,-20.0,20.0,20.0,-20.0,6.51,20.0,-20.0,0.29,20.0,-1.45,20.0,Default
32,-20.0,20.0,-4.85,-20.0,20.0,-10.42,-20.0,16.98,-10.9,-20.0,19.08,14.5,Default
57,-20.0,20.0,20.0,-20.0,9.88,3.2,-20.0,-18.9,1.03,-20.0,1.38,20.0,Default
58,20.0,-20.0,20.0,20.0,-20.0,9.44,20.0,-20.0,0.42,20.0,-2.14,20.0,Default
13,8.68,20.0,20.0,-20.0,-20.0,2.2,-20.0,-20.0,0.48,-20.0,-20.0,20.0,Default
33,20.0,-20.0,20.0,20.0,-20.0,20.0,-1.47,-20.0,20.0,-14.33,-20.0,20.0,Default
