Time,imu0_ax,imu0_ay,imu0_az,imu1_ax,imu1_ay,imu1_az,imu2_ax,imu2_ay,imu2_az,imu3_ax,imu3_ay,imu3_az,Gesture
45,18.77,20,4.75,-20,4.94,-17.55,-20,-12.13,-19.39,-19.23,-0.31,20,Backward
46,18.7,20,6.29,-20,4.94,-17.4,-20,-13.14,-19.35,-20,-0.61,20,Backward
47,18.62,20,7.84,-20,4.94,-17.24,-20,-14.15,-19.31,-20,-0.92,20,Backward
48,18.54,20,9.39,-20,4.94,-17.09,-20,-15.15,-19.27,-20,-1.23,20,Backward
49,18.47,20,10.93,-20,4.94,-16.94,-20,-16.16,-19.23,-20,-1.53,20,Backward
50,18.39,20,12.48,-20,4.94,-16.78,-20,-17.16,-19.2,-20,-1.84,20,Backward
51,18.31,20,14.03,-20,4.94,-16.63,-20,-18.17,-19.16,-20,-2.15,20,Backward
52,18.24,20,15.57,-20,4.94,-16.48,-20,-19.17,-19.12,-20,-2.45,20,Backward
53,18.16,20,17.12,-20,4.94,-16.32,-20,-20,-19.08,-20,-2.76,20,Backward
54,18.08,20,18.67,-20,4.94,-16.17,-20,-20,-19.04,-20,-3.06,20,Backward
55,18.01,20,20,-20,4.94,-16.02,-20,-20,-19,-20,-3.37,20,Backward
56,17.93,20,20,-20,4.94,-15.86,-20,-20,-18.97,-20,-3.68,20,Backward
57,17.85,20,20,-20,4.94,-15.71,-20,-20,-18.93,-20,-3.98,20,Backward
58,17.78,20,20,-20,4.94,-15.56,-20,-20,-18.89,-20,-4.29,20,Backward
59,17.7,20,20,-20,4.94,-15.4,-20,-20,-18.85,-20,-4.6,20,Backward
0,9.73,20,-15.91,4.63,20,-18.69,4.79,18.99,-18.92,5.17,19.69,-6.53,Down
1,9.65,20,-14.36,2.01,20,-18.54,2.26,17.99,-18.89,2.72,19.39,-0.14,Down
2,9.58,20,-12.81,-0.61,20,-18.39,-0.27,16.98,-18.85,0.27,19.08,6.24,Down
3,9.5,20,-11.27,-3.23,20,-18.23,-2.8,15.98,-18.81,-2.18,18.77,12.63,Down
4,9.42,20,-9.72,-5.85,20,-18.08,-5.32,14.97,-18.77,-4.64,18.47,19.02,Down
5,9.35,20,-8.17,-8.47,20,-17.93,-7.85,13.97,-18.73,-7.09,18.16,20,Down
6,9.27,20,-6.63,-11.09,20,-17.77,-10.38,12.96,-18.69,-9.54,17.85,20,Down
7,9.19,20,-5.08,-13.71,20,-17.62,-12.91,11.96,-18.66,-11.99,17.55,20,Down
8,9.12,20,-3.53,-16.33,20,-17.47,-15.44,10.95,-18.62,-14.44,17.24,20,Down
9,9.04,20,-1.99,-18.95,20,-17.32,-17.97,9.94,-18.58,-16.89,16.94,20,Down
10,8.96,20,-0.44,-20,20,-17.16,-20,8.94,-18.54,-19.35,16.63,20,Down
11,8.89,20,1.11,-20,20,-17.01,-20,7.93,-18.5,-20,16.32,20,Down
12,8.81,20,2.65,-20,20,-16.86,-20,6.93,-18.46,-20,16.02,20,Down
13,8.73,20,4.2,-20,20,-16.7,-20,5.92,-18.43,-20,15.71,20,Down
14,8.66,20,5.75,-20,20,-16.55,-20,4.92,-18.39,-20,15.4,20,Down
15,8.58,20,7.29,-20,20,-16.4,-20,3.91,-18.35,-20,15.1,20,Down
16,8.5,20,8.84,-20,20,-16.24,-20,2.91,-18.31,-20,14.79,20,Down
17,8.43,20,10.39,-20,20,-16.09,-20,1.9,-18.27,-20,14.48,20,Down
18,8.35,20,11.93,-20,20,-15.94,-20,0.89,-18.23,-20,14.18,20,Down
19,8.27,20,13.48,-20,20,-15.78,-20,-0.11,-18.2,-20,13.87,20,Down
20,8.2,20,15.03,-20,20,-15.63,-20,-1.12,-18.16,-20,13.56,20,Down
21,8.12,20,16.57,-20,20,-15.48,-20,-2.12,-18.12,-20,13.26,20,Down
22,8.04,20,18.12,-20,20,-15.32,-20,-3.13,-18.08,-20,12.95,20,Down
23,7.97,20,19.67,-20,20,-15.17,-20,-4.13,-18.04,-20,12.64,20,Down
24,7.89,20,20,-20,20,-15.02,-20,-5.14,-18,-20,12.34,20,Down
25,7.81,20,20,-20,20,-14.86,-20,-6.15,-17.97,-20,12.03,20,Down
26,7.74,20,20,-20,20,-14.71,-20,-7.15,-17.93,-20,11.73,20,Down
27,7.66,20,20,-20,20,-14.56,-20,-8.16,-17.89,-20,11.42,20,Down
28,7.58,20,20,-20,20,-14.4,-20,-9.16,-17.85,-20,11.11,20,Down
29,7.51,20,20,-20,20,-14.25,-20,-10.17,-17.81,-20,10.81,20,Down
30,1.07,20,-12.38,-4.01,20,-15.17,-2.53,18.99,-17.09,-2.38,19.69,-4.39,Down
31,1,20,-10.84,-6.63,20,-15.02,-5.06,17.99,-17.05,-4.83,19.39,2,Down
32,0.92,20,-9.29,-9.25,20,-14.86,-7.58,16.98,-17.01,-7.28,19.08,8.39,Down
33,0.84,20,-7.74,-11.87,20,-14.71,-10.11,15.98,-16.97,-9.73,18.77,14.78,Down
34,0.77,20,-6.2,-14.49,20,-14.56,-12.64,14.97,-16.93,-12.18,18.47,20,Down
35,0.69,20,-4.65,-17.11,20,-14.4,-15.17,13.97,-16.89,-14.63,18.16,20,Down
36,0.61,20,-3.1,-19.73,20,-14.25,-17.7,12.96,-16.86,-17.09,17.85,20,Down
37,0.54,20,-1.56,-20,20,-14.1,-20,11.96,-16.82,-19.54,17.55,20,Down
38,0.46,20,-0.01,-20,20,-13.94,-20,10.95,-16.78,-20,17.24,20,Down
39,0.38,20,1.54,-20,20,-13.79,-20,9.94,-16.74,-20,16.94,20,Down
40,0.31,20,3.08,-20,20,-13.64,-20,8.94,-16.7,-20,16.63,20,Down
41,0.23,20,4.63,-20,20,-13.48,-20,7.93,-16.66,-20,16.32,20,Down
42,0.15,20,6.18,-20,20,-13.33,-20,6.93,-16.63,-20,16.02,20,Down
43,0.08,20,7.72,-20,20,-13.18,-20,5.92,-16.59,-20,15.71,20,Down
44,0,20,9.27,-20,20,-13.02,-20,4.92,-16.55,-20,15.4,20,Down
45,-0.08,20,10.82,-20,20,-12.87,-20,3.91,-16.51,-20,15.1,20,Down
46,-0.15,20,12.36,-20,20,-12.72,-20,2.91,-16.47,-20,14.79,20,Down
47,-0.23,20,13.91,-20,20,-12.56,-20,1.9,-16.43,-20,14.48,20,Down
48,-0.31,20,15.46,-20,20,-12.41,-20,0.89,-16.4,-20,14.18,20,Down
49,-0.38,20,17,-20,20,-12.26,-20,-0.11,-16.36,-20,13.87,20,Down
50,-0.46,20,18.55,-20,20,-12.11,-20,-1.12,-16.32,-20,13.56,20,Down
51,-0.54,20,20,-20,20,-11.95,-20,-2.12,-16.28,-20,13.26,20,Down
52,-0.61,20,20,-20,20,-11.8,-20,-3.13,-16.24,-20,12.95,20,Down
53,-0.69,20,20,-20,20,-11.65,-20,-4.13,-16.2,-20,12.64,20,Down
54,-0.77,20,20,-20,20,-11.49,-20,-5.14,-16.17,-20,12.34,20,Down
55,-0.84,20,20,-20,20,-11.34,-20,-6.15,-16.13,-20,12.03,20,Down
56,-0.92,20,20,-20,20,-11.19,-20,-7.15,-16.09,-20,11.73,20,Down
57,-1,20,20,-20,20,-11.03,-20,-8.16,-16.05,-20,11.42,20,Down
58,-1.07,20,20,-20,20,-10.88,-20,-9.16,-16.01,-20,11.11,20,Down
59,-1.15,20,20,-20,20,-10.73,-20,-10.17,-15.97,-20,10.81,20,Down
0,-20,20,-18.45,-20,4.98,-19.85,-20,2.97,-19.96,-20,4.64,-13.61,Forward
1,-20,20,-16.91,-20,4.98,-19.69,-20,1.96,-19.92,-20,4.33,-7.22,Forward
2,-20,20,-15.36,-20,4.98,-19.54,-20,0.96,-19.89,-20,4.02,-0.84,Forward
3,-20,20,-13.81,-20,4.98,-19.39,-20,-0.05,-19.85,-20,3.72,5.55,Forward
4,-20,20,-12.27,-20,4.98,-19.23,-20,-1.05,-19.81,-20,3.41,11.94,Forward
5,-20,20,-10.72,-20,4.98,-19.08,-20,-2.06,-19.77,-20,3.1,18.33,Forward
6,-20,20,-9.17,-20,4.98,-18.93,-20,-3.06,-19.73,-20,2.8,20,Forward
7,-20,20,-7.63,-20,4.98,-18.77,-20,-4.07,-19.69,-20,2.49,20,Forward
8,-20,20,-6.08,-20,4.98,-18.62,-20,-5.08,-19.66,-20,2.18,20,Forward
9,-20,20,-4.53,-20,4.98,-18.47,-20,-6.08,-19.62,-20,1.88,20,Forward
10,-20,20,-2.99,-20,4.98,-18.31,-20,-7.09,-19.58,-20,1.57,20,Forward
11,-20,20,-1.44,-20,4.98,-18.16,-20,-8.09,-19.54,-20,1.26,20,Forward
12,-20,20,0.11,-20,4.98,-18.01,-20,-9.1,-19.5,-20,0.96,20,Forward
13,-20,20,1.65,-20,4.98,-17.85,-20,-10.1,-19.46,-20,0.65,20,Forward
14,-20,20,3.2,-20,4.98,-17.7,-20,-11.11,-19.43,-20,0.34,20,Forward
15,-20,20,4.75,-20,4.98,-17.55,-20,-12.11,-19.39,-20,0.04,20,Forward
16,-20,20,6.29,-20,4.98,-17.4,-20,-13.12,-19.35,-20,-0.27,20,Forward
17,-20,20,7.84,-20,4.98,-17.24,-20,-14.13,-19.31,-20,-0.57,20,Forward
18,-20,20,9.39,-20,4.98,-17.09,-20,-15.13,-19.27,-20,-0.88,20,Forward
19,-20,20,10.93,-20,4.98,-16.94,-20,-16.14,-19.23,-20,-1.19,20,Forward
20,-20,20,12.48,-20,4.98,-16.78,-20,-17.14,-19.2,-20,-1.49,20,Forward
21,-20,20,14.03,-20,4.98,-16.63,-20,-18.15,-19.16,-20,-1.8,20,Forward
22,-20,20,15.57,-20,4.98,-16.48,-20,-19.15,-19.12,-20,-2.11,20,Forward
23,-20,20,17.12,-20,4.98,-16.32,-20,-20,-19.08,-20,-2.41,20,Forward
24,-20,20,18.67,-20,4.98,-16.17,-20,-20,-19.04,-20,-2.72,20,Forward
25,-20,20,20,-20,4.98,-16.02,-20,-20,-19,-20,-3.03,20,Forward
26,-20,20,20,-20,4.98,-15.86,-20,-20,-18.97,-20,-3.33,20,Forward
27,-20,20,20,-20,4.98,-15.71,-20,-20,-18.93,-20,-3.64,20,Forward
28,-20,20,20,-20,4.98,-15.56,-20,-20,-18.89,-20,-3.95,20,Forward
29,-20,20,20,-20,4.98,-15.4,-20,-20,-18.85,-20,-4.25,20,Forward
30,-20,20,-18.45,-20,5,-19.85,-20,2.99,-19.96,-20,4.48,-13.61,Forward
31,-20,20,-16.91,-20,5,-19.69,-20,1.98,-19.92,-20,4.18,-7.22,Forward
32,-20,20,-15.36,-20,5,-19.54,-20,0.98,-19.89,-20,3.87,-0.84,Forward
33,-20,20,-13.81,-20,5,-19.39,-20,-0.03,-19.85,-20,3.56,5.55,Forward
34,-20,20,-12.27,-20,5,-19.23,-20,-1.03,-19.81,-20,3.26,11.94,Forward
35,-20,20,-10.72,-20,5,-19.08,-20,-2.04,-19.77,-20,2.95,18.33,Forward
36,-20,20,-9.17,-20,5,-18.93,-20,-3.05,-19.73,-20,2.64,20,Forward
37,-20,20,-7.63,-20,5,-18.77,-20,-4.05,-19.69,-20,2.34,20,Forward
38,-20,20,-6.08,-20,5,-18.62,-20,-5.06,-19.66,-20,2.03,20,Forward
39,-20,20,-4.53,-20,5,-18.47,-20,-6.06,-19.62,-20,1.72,20,Forward
40,-20,20,-2.99,-20,5,-18.31,-20,-7.07,-19.58,-20,1.42,20,Forward
41,-20,20,-1.44,-20,5,-18.16,-20,-8.07,-19.54,-20,1.11,20,Forward
42,-20,20,0.11,-20,5,-18.01,-20,-9.08,-19.5,-20,0.8,20,Forward
43,-20,20,1.65,-20,5,-17.85,-20,-10.08,-19.46,-20,0.5,20,Forward
44,-20,20,3.2,-20,5,-17.7,-20,-11.09,-19.43,-20,0.19,20,Forward
45,-20,20,4.75,-20,5,-17.55,-20,-12.1,-19.39,-20,-0.11,20,Forward
46,-20,20,6.29,-20,5,-17.4,-20,-13.1,-19.35,-20,-0.42,20,Forward
47,-20,20,7.84,-20,5,-17.24,-20,-14.11,-19.31,-20,-0.73,20,Forward
48,-20,20,9.39,-20,5,-17.09,-20,-15.11,-19.27,-20,-1.03,20,Forward
49,-20,20,10.93,-20,5,-16.94,-20,-16.12,-19.23,-20,-1.34,20,Forward
50,-20,20,12.48,-20,5,-16.78,-20,-17.12,-19.2,-20,-1.65,20,Forward
51,-20,20,14.03,-20,5,-16.63,-20,-18.13,-19.16,-20,-1.95,20,Forward
52,-20,20,15.57,-20,5,-16.48,-20,-19.13,-19.12,-20,-2.26,20,Forward
53,-20,20,17.12,-20,5,-16.32,-20,-20,-19.08,-20,-2.57,20,Forward
54,-20,20,18.67,-20,5,-16.17,-20,-20,-19.04,-20,-2.87,20,Forward
55,-20,20,20,-20,5,-16.02,-20,-20,-19,-20,-3.18,20,Forward
56,-20,20,20,-20,5,-15.86,-20,-20,-18.97,-20,-3.49,20,Forward
57,-20,20,20,-20,5,-15.71,-20,-20,-18.93,-20,-3.79,20,Forward
58,-20,20,20,-20,5,-15.56,-20,-20,-18.89,-20,-4.1,20,Forward
59,-20,20,20,-20,5,-15.4,-20,-20,-18.85,-20,-4.41,20,Forward
0,-0.15,20,2.94,-5.09,14.86,-0.42,-4.88,12.89,-0.59,-4.9,14.29,12.6,Left
1,-0.23,20,4.49,-7.7,14.86,-0.27,-7.41,11.88,-0.56,-7.36,13.98,18.99,Left
2,-0.31,20,6.03,-10.32,14.86,-0.11,-9.94,10.88,-0.52,-9.81,13.68,20,Left
3,-0.38,20,7.58,-12.94,14.86,0.04,-12.47,9.87,-0.48,-12.26,13.37,20,Left
4,-0.46,20,9.13,-15.56,14.86,0.19,-15,8.87,-0.44,-14.71,13.06,20,Left
5,-0.54,20,10.67,-18.18,14.86,0.34,-17.53,7.86,-0.4,-17.16,12.76,20,Left
6,-0.61,20,12.22,-20,14.86,0.5,-20,6.86,-0.36,-19.61,12.45,20,Left
7,-0.69,20,13.77,-20,14.86,0.65,-20,5.85,-0.33,-20,12.14,20,Left
8,-0.77,20,15.31,-20,14.86,0.8,-20,4.85,-0.29,-20,11.84,20,Left
9,-0.84,20,16.86,-20,14.86,0.96,-20,3.84,-0.25,-20,11.53,20,Left
10,-0.92,20,18.41,-20,14.86,1.11,-20,2.83,-0.21,-20,11.22,20,Left
11,-1,20,19.95,-20,14.86,1.26,-20,1.83,-0.17,-20,10.92,20,Left
12,-1.07,20,20,-20,14.86,1.42,-20,0.82,-0.13,-20,10.61,20,Left
13,-1.15,20,20,-20,14.86,1.57,-20,-0.18,-0.1,-20,10.3,20,Left
14,-1.23,20,20,-20,14.86,1.72,-20,-1.19,-0.06,-20,10,20,Left
15,-1.3,20,20,-20,14.86,1.88,-20,-2.19,-0.02,-20,9.69,20,Left
16,-1.38,20,20,-20,14.86,2.03,-20,-3.2,0.02,-20,9.39,20,Left
17,-1.46,20,20,-20,14.86,2.18,-20,-4.2,0.06,-20,9.08,20,Left
18,-1.53,20,20,-20,14.86,2.34,-20,-5.21,0.1,-20,8.77,20,Left
19,-1.61,20,20,-20,14.86,2.49,-20,-6.22,0.13,-20,8.47,20,Left
20,-1.69,20,20,-20,14.86,2.64,-20,-7.22,0.17,-20,8.16,20,Left
21,-1.76,20,20,-20,14.86,2.8,-20,-8.23,0.21,-20,7.85,20,Left
22,-1.84,20,20,-20,14.86,2.95,-20,-9.23,0.25,-20,7.55,20,Left
23,-1.92,20,20,-20,14.86,3.1,-20,-10.24,0.29,-20,7.24,20,Left
24,-1.99,20,20,-20,14.86,3.26,-20,-11.24,0.33,-20,6.93,20,Left
25,-2.07,20,20,-20,14.86,3.41,-20,-12.25,0.36,-20,6.63,20,Left
26,-2.15,20,20,-20,14.86,3.56,-20,-13.25,0.4,-20,6.32,20,Left
27,-2.22,20,20,-20,14.86,3.72,-20,-14.26,0.44,-20,6.01,20,Left
28,-2.3,20,20,-20,14.86,3.87,-20,-15.27,0.48,-20,5.71,20,Left
29,-2.38,20,20,-20,14.86,4.02,-20,-16.27,0.52,-20,5.4,20,Left
30,5.31,20,20,0.22,20,20,-0.15,17.91,20,0,19.31,20,Left
31,5.23,20,20,-2.4,20,20,-2.68,16.9,20,-2.45,19,20,Left
32,5.15,20,20,-5.02,20,20,-5.21,15.9,20,-4.9,18.69,20,Left
33,5.08,20,20,-7.64,20,20,-7.74,14.89,20,-7.36,18.39,20,Left
34,5,20,20,-10.26,20,20,-10.27,13.89,20,-9.81,18.08,20,Left
35,4.92,20,20,-12.88,20,20,-12.79,12.88,20,-12.26,17.77,20,Left
36,4.85,20,20,-15.5,20,20,-15.32,11.88,20,-14.71,17.47,20,Left
37,4.77,20,20,-18.11,20,20,-17.85,10.87,20,-17.16,17.16,20,Left
38,4.69,20,20,-20,20,20,-20,9.86,20,-19.61,16.86,20,Left
39,4.62,20,20,-20,20,20,-20,8.86,20,-20,16.55,20,Left
40,4.54,20,20,-20,20,20,-20,7.85,20,-20,16.24,20,Left
41,4.46,20,20,-20,20,20,-20,6.85,20,-20,15.94,20,Left
42,4.39,20,20,-20,20,20,-20,5.84,20,-20,15.63,20,Left
43,4.31,20,20,-20,20,20,-20,4.84,20,-20,15.32,20,Left
44,4.23,20,20,-20,20,20,-20,3.83,20,-20,15.02,20,Left
45,4.16,20,20,-20,20,20,-20,2.83,20,-20,14.71,20,Left
46,4.08,20,20,-20,20,20,-20,1.82,20,-20,14.4,20,Left
47,4,20,20,-20,20,20,-20,0.81,20,-20,14.1,20,Left
48,3.93,20,20,-20,20,20,-20,-0.19,20,-20,13.79,20,Left
49,3.85,20,20,-20,20,20,-20,-1.2,20,-20,13.48,20,Left
50,3.77,20,20,-20,20,20,-20,-2.2,20,-20,13.18,20,Left
51,3.7,20,20,-20,20,20,-20,-3.21,20,-20,12.87,20,Left
52,3.62,20,20,-20,20,20,-20,-4.21,20,-20,12.56,20,Left
53,3.54,20,20,-20,20,20,-20,-5.22,20,-20,12.26,20,Left
54,3.47,20,20,-20,20,20,-20,-6.23,20,-20,11.95,20,Left
55,3.39,20,20,-20,20,20,-20,-7.23,20,-20,11.65,20,Left
56,3.31,20,20,-20,20,20,-20,-8.24,20,-20,11.34,20,Left
57,3.24,20,20,-20,20,20,-20,-9.24,20,-20,11.03,20,Left
58,3.16,20,20,-20,20,20,-20,-10.25,20,-20,10.73,20,Left
59,3.08,20,20,-20,20,20,-20,-11.25,20,-20,10.42,20,Left
0,-20,8.2,20,-20,-9.81,20,-20,-13.47,20,-20,-12.03,20,Right
1,-20,17.2,20,-20,-9.81,20,-20,-14.47,20,-20,-12.34,20,Right
2,-20,20,20,-20,-9.81,20,-20,-15.48,20,-20,-12.64,20,Right
3,-20,20,20,-20,-9.81,20,-20,-16.48,20,-20,-12.95,20,Right
4,-20,20,20,-20,-9.81,20,-20,-17.49,20,-20,-13.25,20,Right
5,-20,20,20,-20,-9.81,20,-20,-18.49,20,-20,-13.56,20,Right
6,-20,20,20,-20,-9.81,20,-20,-19.5,20,-20,-13.87,20,Right
7,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-14.17,20,Right
8,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-14.48,20,Right
9,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-14.79,20,Right
10,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-15.09,20,Right
11,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-15.4,20,Right
12,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-15.71,20,Right
13,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-16.01,20,Right
14,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-16.32,20,Right
15,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-16.63,20,Right
16,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-16.93,20,Right
17,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-17.24,20,Right
18,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-17.54,20,Right
19,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-17.85,20,Right
20,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-18.16,20,Right
21,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-18.46,20,Right
22,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-18.77,20,Right
23,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-19.08,20,Right
24,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-19.38,20,Right
25,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-19.69,20,Right
26,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-20,20,Right
27,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-20,20,Right
28,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-20,20,Right
29,-20,20,20,-20,-9.81,20,-20,-20,20,-20,-20,20,Right
30,-20,4.08,20,-20,-14.02,20,-20,-16.11,20,-20,-14.56,20,Right
31,-20,13.08,20,-20,-14.02,20,-20,-17.11,20,-20,-14.86,20,Right
32,-20,20,20,-20,-14.02,20,-20,-18.12,20,-20,-15.17,20,Right
33,-20,20,20,-20,-14.02,20,-20,-19.13,20,-20,-15.48,20,Right
34,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-15.78,20,Right
35,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-16.09,20,Right
36,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-16.4,20,Right
37,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-16.7,20,Right
38,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-17.01,20,Right
39,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-17.32,20,Right
40,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-17.62,20,Right
41,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-17.93,20,Right
42,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-18.23,20,Right
43,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-18.54,20,Right
44,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-18.85,20,Right
45,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-19.15,20,Right
46,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-19.46,20,Right
47,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-19.77,20,Right
48,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-20,20,Right
49,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-20,20,Right
50,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-20,20,Right
51,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-20,20,Right
52,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-20,20,Right
53,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-20,20,Right
54,-20,20,20,-20,-14.02,20,-20,-20,20,-20,-20,20,Right
